surface,count,split_as,phrase_count,example,verdict,note
roman,32,ro man,0,,,
lumshyiap,32,lum shyiap,4,,,
mohrmen,32,moh rmen,0,,,
punit,32,pu nit,0,,,
teja,32,te ja,0,,,
saiden,31,sai den,0,,,
amda,31,am da,0,,,
laioh,31,la ioh,9347,,,
nongbsap,31,nong bsap,0,,,
bordoloi,31,bor doloi,0,,,
iapait,31,ia pait,15,,,
suiam,31,sui am,0,,,
dawan,31,da wan,55,,,
wadkam,31,wad kam,70,,,
jingshut,31,jing shut,0,,,
boko,31,bo ko,0,,,
jingwanrung,31,jingwan rung,182,,,
nginiong,31,ngin iong,0,,,
kynshlei,31,kyn shlei,0,,,
naidu,31,nai du,0,,,
nongkya,31,nong kya,0,,,
kapten,31,kap ten,0,,,
paidriewngeit,31,paid riewngeit,64,,,
khatarshnong,31,khatar shnong,4,,,
suhthied,31,suh thied,27,,,
mandir,31,man dir,0,,,
saudi,31,sau di,0,,,
shain,31,sha in,0,,,
baphi,31,ba phi,284,,,
kyndew,30,kyn dew,0,,,
siangrong,30,siang rong,89,,,
khrawbor,30,khraw bor,15,,,
iadie,30,ia die,48,,,"check: ia- may be the reciprocal prefix, not the preposition"
iadih,30,ia dih,62,,,
iadat,30,ia dat,23,,,
lehbha,30,leh bha,130,,,
diengdumbur,30,dieng dumbur,4,,,
umngi,30,um ngi,3,,,
iathied,30,ia thied,75,,,"check: ia- may be the reciprocal prefix, not the preposition"
phukan,30,phu kan,0,,,
shilong,30,shi long,0,,,
nongtluh,30,nong tluh,0,,,
patna,30,pat na,142,,,
mawblei,30,maw blei,0,,,
kuliang,30,ku liang,0,,,
mikir,30,mi kir,0,,,
wanrung,30,wan rung,286,,,
khohram,30,khoh ram,4,,,
nasa,30,na sa,0,,,
dohum,30,do hum,0,,,
lurshai,30,lur shai,0,,,
rilang,30,ri lang,0,,,
adhar,30,ad har,0,,,
sengbah,30,seng bah,15,,,
sohmat,30,soh mat,0,,,
mawbuh,30,maw buh,0,,,
jynrin,30,jyn rin,0,,,
jaitkpa,30,jait kpa,43,,,
mail,29,ma il,0,,,
nongpahara,29,nong pahara,10,,,
thangskai,29,thang skai,0,,,
iohpdiang,29,ioh pdiang,296,,,
kyrai,29,kyr ai,0,,,
shangbangla,29,shang bangla,2,,,
behkam,29,beh kam,63,,,
aiborlang,29,aibor lang,0,,,
herman,29,her man,2,,,
wengkam,29,weng kam,79,,,
shangdiar,29,shang diar,0,,,
umiew,29,u miew,0,,,
tyngsong,29,tyng song,0,,,
sajer,29,sa jer,0,,,
shongshnong,29,shong shnong,233,,,
jingkitbok,29,jingkit bok,5,,,
asoh,29,as oh,0,,,
sana,29,sa na,36,,,
jorhat,29,jor hat,0,,,
luther,29,lut her,0,,,
maria,29,ma ria,0,,,
khyllahjait,29,khyllah jait,51,,,
mathew,29,ma thew,0,,,
dima,29,di ma,0,,,
pynsyier,29,pyn syier,2,,,
naik,29,na ik,0,,,
asak,29,as ak,0,,,
amdoh,29,am doh,0,,,
riewshemphang,29,riew shemphang,94,,,
khohruh,29,khoh ruh,4,,,
brother,29,brot her,0,,,
bodo,29,bo do,0,,,
kabynta,29,ka bynta,10313,,,
banri,29,ban ri,86,,,
kyrshai,29,kyr shai,0,,,
khliehshnong,29,khlieh shnong,8,,,
ohsngew,29,oh sngew,0,,,
laitmon,29,lait mon,2,,,
jingpynshlur,28,jingpyn shlur,0,,,
iapein,28,ia pein,5,,,
wanpoi,28,wan poi,330,,,
shankar,28,shan kar,0,,,
nongneng,28,nong neng,0,,,
mutong,28,mu tong,0,,,
baiar,28,bai ar,0,,,
jingsahteng,28,jingsah teng,6,,,
iarai,28,ia rai,73,,,
iehbein,28,ieh bein,14,,,
sanshyieng,28,san shyieng,13,,,
tiwari,28,tiw ari,0,,,
pynkhrum,28,pyn khrum,0,,,
laitdom,28,lait dom,0,,,
sngikha,28,sngi kha,127,,,
neiah,28,nei ah,0,,,
jingpynbthei,28,jing pynbthei,15,,,
kadda,28,kad da,0,,,
lehbei,28,leh bei,18,,,
kipaidbah,28,ki paidbah,10091,,,
pynthorbah,28,pynthor bah,0,,,
iasah,28,ia sah,50,,,
bashisha,28,ba shisha,104,,,
rana,28,ra na,0,,,
bajoria,28,bajor ia,0,,,
pohkseh,28,poh kseh,0,,,
karate,28,kara te,0,,,
plain,28,pla in,0,,,
shilum,28,shi lum,0,,,
sokon,28,sok on,0,,,
jingpynneh,27,jing pynneh,12,,,
mawjam,27,maw jam,0,,,
iohbor,27,ioh bor,123,,,
marki,27,mar ki,187,,,
sniewbok,27,sniew bok,20,,,
helping,27,he lping,0,,,
jingkyrni,27,jing kyrni,7,,,
nongkhlieh,27,nong khlieh,0,,,
jingialong,27,jingi along,0,,,
hakatei,27,ha katei,10412,,,
lehdonbor,27,leh donbor,132,,,
umsawkhwan,27,umsaw khwan,4,,,
pilot,27,pi lot,0,,,
dabit,27,da bit,0,,,
jingkawang,27,jing kawang,12,,,
limit,27,lim it,0,,,
jingbuddien,27,jingbud dien,9,,,
karan,27,ka ran,3,,,
marba,27,mar ba,74,,,
pynia,27,pyn ia,52,,,
khardewsaw,27,khar dewsaw,0,,,
riki,27,ri ki,231,,,
nirmala,27,nir mala,0,,,
iakata,27,ia kata,1107,,,"check: ia- may be the reciprocal prefix, not the preposition"
diengpasoh,27,dieng pasoh,0,,,
umthli,27,um thli,0,,,
sekhon,27,sek hon,0,,,
jingmaramot,27,jing maramot,8,,,
sawngut,27,saw ngut,385,,,
umlong,27,um long,39,,,
burma,27,bur ma,0,,,
shopping,27,shop ping,0,,,
khunbynriew,27,khun bynriew,70,,,
pynter,27,pyn ter,0,,,
kyllalyngot,27,kylla lyngot,0,,,
laki,27,la ki,1921,,,
madam,27,ma dam,0,,,
ladakh,27,lada kh,0,,,
sodom,27,sod om,0,,,
rakkam,26,rak kam,0,,,
nangto,26,nang to,0,,,
khon,26,kh on,0,,,
dano,26,da no,0,,,
aipor,26,ai por,327,,,
rabon,26,ra bon,0,,,
iashai,26,ia shai,16,,,
tongper,26,tong per,0,,,
sahsniang,26,sah sniang,0,,,
umthlong,26,um thlong,0,,,
teron,26,te ron,0,,,
mawkynjoin,26,maw kynjoin,0,,,
pynriewspah,26,pyn riewspah,0,,,
jingpynbiang,26,jing pynbiang,2,,,
plielad,26,plie lad,133,,,
jingiam,26,ji ngiam,0,,,
oram,26,or am,0,,,
nongwankai,26,nong wankai,2,,,
tyngkhat,26,tyng khat,0,,,
basdang,26,ba sdang,189,,,
laptop,26,lap top,0,,,
uriah,26,u riah,0,,,
nangkyntiew,26,nang kyntiew,19,,,
jingwadbniah,26,jingwad bniah,67,,,
diengsoh,26,dieng soh,12,,,
iarong,26,ia rong,0,,,
nation,26,na tion,0,,,
beer,26,be er,0,,,
nongshongwai,26,nongshong wai,25,,,
syntar,26,syn tar,0,,,
demthring,26,dem thring,0,,,
umdor,26,um dor,0,,,
hitler,26,hi tler,0,,,
khrawbuit,26,khraw buit,0,,,
manar,26,ma nar,0,,,
thalai,26,tha lai,0,,,
khanglut,26,khang lut,42,,,
wankupar,25,wan kupar,0,,,
sukra,25,suk ra,0,,,
baha,25,ba ha,4053,,,
iakhlad,25,ia khlad,33,,,
iawai,25,ia wai,21,,,
nongdkhar,25,nong dkhar,0,,,
bymngeit,25,bym ngeit,22,,,
jingiuhroit,25,jingiuh roit,10,,,
nongpyndonkam,25,nong pyndonkam,26,,,
khadwei,25,khad wei,0,,,
jingpra,25,jing pra,3,,,
dala,25,da la,317,,,
arsngi,25,ar sngi,271,,,
amka,25,am ka,15,,,
more,25,mo re,0,,,
ambani,25,am bani,0,,,
parajor,25,para jor,0,,,
arjun,25,ar jun,0,,,
wansuk,25,wan suk,0,,,
lakador,25,lak ador,0,,,
donhok,25,don hok,100,,,
jingpyntbit,25,jingpyn tbit,0,,,
shilak,25,shi lak,45,,,
pasi,25,pa si,0,,,
jingpyntieng,25,jing pyntieng,8,,,
jingbymhok,25,jing bymhok,0,,,
balah,25,ba lah,592,,,
lerkam,25,ler kam,22,,,
pdengshnong,25,pdeng shnong,20,,,
ubah,25,u bah,31762,,,
paieid,25,pa ieid,2,,,
wain,25,wa in,0,,,
nongkhrah,25,nong khrah,0,,,
jingbunkam,25,jingbun kam,5,,,
otdoh,25,ot doh,111,,,
bakut,25,ba kut,132,,,
iewkor,25,iew kor,0,,,
roipar,25,roi par,0,,,
mawphor,25,maw phor,0,,,
pharoah,25,pharo ah,0,,,
idei,25,i dei,79,,,
dewthala,25,dew thala,7,,,
winner,25,win ner,0,,,
jingsbun,25,jing sbun,2,,,
tikait,25,ti kait,0,,,
pynlyngoh,24,pyn lyngoh,3,,,
puramon,24,pura mon,0,,,
wasa,24,wa sa,0,,,
pranab,24,pran ab,0,,,
umlaper,24,um laper,0,,,
iabam,24,ia bam,98,,,
bajop,24,ba jop,39,,,
pynbieit,24,pyn bieit,0,,,
bajah,24,ba jah,26,,,
kishan,24,ki shan,0,,,
lawmei,24,law mei,0,,,
riwiang,24,ri wiang,0,,,
dura,24,du ra,0,,,
nongdaju,24,nongda ju,0,,,
anjali,24,an jali,0,,,
parakur,24,para kur,48,,,
biangbor,24,biang bor,10,,,
asnoh,24,as noh,0,,,
bapura,24,ba pura,422,,,
jingiohlad,24,jing iohlad,0,,,
rangblang,24,rang blang,0,,,
kharlieh,24,khar lieh,0,,,
into,24,in to,3,,,
pakem,24,pa kem,0,,,
iashem,24,ia shem,4,,,
paduh,24,pa duh,0,,,
hakata,24,ha kata,567,,,
iakhleh,24,ia khleh,23,,,
diko,24,di ko,0,,,
khrang,24,kh rang,0,,,
risiang,24,ri siang,0,,,
mawkriah,24,maw kriah,0,,,
batkupar,24,bat kupar,0,,,
jingpyndik,24,jing pyndik,0,,,
thaiang,24,thai ang,0,,,
umsohlait,24,umsoh lait,0,,,
aiban,24,ai ban,81,,,
pynduhnong,24,pynduh nong,24,,,
riahtam,24,riah tam,0,,,
khongthaw,24,khong thaw,0,,,
nongpyn,24,nong pyn,3,,,
rupari,24,rup ari,0,,,
iasiat,24,ia siat,67,,,
mawshuit,24,maw shuit,0,,,
nongmynsaw,24,nong mynsaw,0,,,
nepa,24,ne pa,0,,,
jingpynthymmai,24,jingpyn thymmai,0,,,
nongpyrshah,24,nong pyrshah,5,,,
rapthap,24,rap thap,0,,,
patarim,24,pata rim,0,,,
erbih,24,er bih,3,,,
loan,23,lo an,0,,,
jahrngai,23,jah rngai,134,,,
lalong,23,la long,3095,,,
denis,23,den is,0,,,
byndihati,23,byndi hati,0,,,
mawkhiew,23,maw khiew,0,,,
nongwar,23,nong war,0,,,
masjid,23,mas jid,0,,,
jahrin,23,jah rin,0,,,
balen,23,ba len,0,,,
bakordor,23,ba kordor,90,,,
kumtai,23,ku mtai,0,,,
meira,23,mei ra,0,,,
jingkhlai,23,jing khlai,0,,,
raswai,23,ra swai,0,,,
songthiang,23,song thiang,0,,,
khatsan,23,khat san,0,,,
jingbymhun,23,jingbym hun,22,,,
wahkdait,23,wah kdait,0,,,
nanghiar,23,nang hiar,45,,,
laitlum,23,lait lum,0,,,
banbein,23,ban bein,60,,,
mawtari,23,maw tari,0,,,
nohsynniang,23,noh synniang,268,,,
tarun,23,ta run,0,,,
pakma,23,pa kma,0,,,
anita,23,an ita,0,,,
mawkhan,23,maw khan,0,,,
sohkhwai,23,soh khwai,0,,,
larsing,23,lar sing,0,,,
khongiong,23,khong iong,0,,,
male,23,ma le,0,,,
khari,23,kh ari,0,,,
pahsyntiew,23,pah syntiew,7,,,
shanlang,23,shan lang,0,,,
nongpet,23,nong pet,0,,,
ohba,23,oh ba,14,,,
iewbah,23,iew bah,4,,,
jingkharoi,23,jing kharoi,2,,,
rawat,23,ra wat,0,,,
phail,22,pha il,0,,,
riewkhmat,22,riew khmat,4,,,
mine,22,mi ne,0,,,
nengnong,22,neng nong,0,,,
iaksaid,22,ia ksaid,21,,,
hosia,22,ho sia,0,,,
umsyep,22,um syep,4,,,
nongieng,22,no ngieng,0,,,
jingpynthikna,22,jingpyn thikna,0,,,
read,22,re ad,0,,,
tiewsoh,22,tiew soh,0,,,
longsan,22,long san,11,,,
hashuwa,22,ha shuwa,207,,,
minor,22,mi nor,0,,,
testing,22,te sting,0,,,
mawlum,22,maw lum,0,,,
nongkhein,22,nong khein,0,,,
sorbah,22,sor bah,32,,,
pynthiah,22,pyn thiah,0,,,
kain,22,ka in,4,,,
mawlot,22,maw lot,0,,,
khlempep,22,khlem pep,241,,,
umsohlang,22,umsoh lang,0,,,
site,22,si te,0,,,
jopthiaw,22,jop thiaw,8,,,
durama,22,dur ama,0,,,
kaneka,22,kan eka,0,,,
sohpdung,22,soh pdung,0,,,
jingmynthi,22,jing mynthi,2,,,
mikah,22,mi kah,0,,,
hangi,22,ha ngi,158,,,
rapbor,22,rap bor,0,,,
pynartatien,22,pyn artatien,8,,,
paidbynriew,22,paid bynriew,2,,,
lehrai,22,leh rai,0,,,
pongtung,22,pong tung,0,,,
nongshalan,22,nong shalan,2,,,
pynibor,22,pyni bor,137,,,
debate,22,de bate,0,,,
papa,22,pa pa,0,,,
tangjait,22,tang jait,28,,,
angi,22,ang i,0,,,
raidmynsaw,22,raid mynsaw,15,,,
bung,22,bu ng,0,,,
kanan,22,ka nan,8,,,
tailin,22,tai lin,0,,,
sialieh,22,sia lieh,61,,,
toin,21,to in,0,,,
jingduhnoh,21,jingduh noh,55,,,
papang,21,pa pang,0,,,
naia,21,na ia,3,,,
banking,21,ban king,6,,,
jingsuki,21,jing suki,4,,,
jingkynrum,21,jing kynrum,7,,,
sitting,21,sit ting,0,,,
imran,21,i mran,0,,,
muthlong,21,mu thlong,0,,,
musniang,21,mu sniang,0,,,
donlad,21,don lad,73,,,
aili,21,ai li,0,,,
jingsan,21,jing san,0,,,
phetrieh,21,phet rieh,99,,,
umjapung,21,um japung,0,,,
iashoh,21,ia shoh,34,,,
aman,21,am an,0,,,
atrei,21,at rei,0,,,
wanphrang,21,wan phrang,0,,,
dinam,21,di nam,0,,,
hema,21,he ma,0,,,
nongmadan,21,nong madan,0,,,
mahajan,21,ma hajan,0,,,
ahap,21,ah ap,0,,,
pohtam,21,poh tam,3,,,
benjamin,21,ben jamin,0,,,
manih,21,man ih,0,,,
langi,21,la ngi,45,,,
paris,21,par is,0,,,
jingpynpra,21,jing pynpra,0,,,
graham,21,gra ham,0,,,
ahmad,21,ah mad,0,,,
hanga,21,ha nga,138,,,
khongtani,21,khong tani,0,,,
bympat,21,bym pat,499,,,
pyninam,21,pyni nam,23,,,
jabai,21,ja bai,0,,,
rongrin,21,rong rin,0,,,
khongngai,21,khong ngai,0,,,
shisem,21,shi sem,19,,,
jingsngewlyngngoh,21,jingsngew lyngngoh,61,,,
shahktah,21,shah ktah,509,,,
kumka,21,kum ka,6411,,,
sahkynmaw,21,sah kynmaw,86,,,
jingbieit,21,jing bieit,0,,,
hubei,21,hu bei,0,,,
mobai,21,mo bai,0,,,
nongthiah,21,nong thiah,0,,,
laleit,21,la leit,4296,,,
nongsiew,20,nong siew,2,,,
darang,20,da rang,3,,,
khaduh,20,kha duh,0,,,
nongsar,20,nong sar,2,,,
pynjngut,20,pyn jngut,0,,,
mynthong,20,myn thong,0,,,
pawshai,20,paw shai,136,,,
paibah,20,pai bah,0,,,
rashir,20,ra shir,0,,,
pynshem,20,pyn shem,0,,,
rising,20,ri sing,0,,,
arki,20,ar ki,111,,,
laden,20,la den,0,,,
narwan,20,nar wan,0,,,
bynther,20,byn ther,0,,,
shetja,20,shet ja,34,,,
iatei,20,ia tei,12,,,
nianglang,20,niang lang,0,,,
symbol,20,sym bol,0,,,
rangthong,20,rang thong,0,,,
pynjan,20,pyn jan,0,,,
thyrniang,20,thyrnia ng,0,,,
khongphai,20,khong phai,0,,,
sangah,20,sa ngah,0,,,
lurman,20,lur man,0,,,
theilin,20,thei lin,0,,,
mawmaram,20,maw maram,0,,,
petition,20,peti tion,0,,,
jinglongtrai,20,jinglong trai,139,,,
dohpnat,20,doh pnat,0,,,
synroplang,20,synrop lang,19,,,
tapan,20,ta pan,0,,,
dame,20,da me,0,,,
jingkhien,20,jing khien,0,,,
pynmlien,20,pyn mlien,0,,,
dewbah,20,dew bah,0,,,
pynsniewdur,20,pynsniew dur,36,,,
laduh,20,la duh,513,,,
jingshongshit,20,jingshong shit,8,,,
jingbate,20,jing bate,2,,,
tiehsaw,20,tieh saw,0,,,
jakrem,20,ja krem,0,,,
nongkamai,20,nong kamai,12,,,
pyrdai,20,pyrda i,0,,,
jingbymioh,20,jingbym ioh,116,,,
litre,20,li tre,0,,,
marrep,20,mar rep,296,,,
rongtuh,20,rong tuh,43,,,
lehbor,20,leh bor,17,,,
sahwai,20,sah wai,19,,,
diengjri,20,dieng jri,21,,,
syntu,20,syn tu,0,,,
liter,20,li ter,0,,,
deihok,20,dei hok,267,,,
ranjit,20,ran jit,0,,,
kalam,20,ka lam,17,,,
siatbakon,20,siat bakon,0,,,
umrit,20,u mrit,0,,,
lalung,20,la lung,4,,,
madras,20,mad ras,0,,,
lukas,20,luk as,0,,,
nangmut,20,nang mut,14,,,
myrboh,20,myr boh,0,,,
jingtar,20,jing tar,0,,,
lathaw,20,la thaw,778,,,
iarung,20,ia rung,49,,,
iewskum,20,iew skum,7,,,
rapid,20,ra pid,0,,,
thangbru,20,thang bru,2,,,
nikhla,20,ni khla,0,,,
mawlam,20,maw lam,0,,,
janis,20,jan is,0,,,
thangbriew,20,thang briew,45,,,
baphra,20,ba phra,49,,,
khda,20,kh da,0,,,
pynkhynniuh,19,pyn khynniuh,4,,,
dalei,19,da lei,223,,,
wanlang,19,wan lang,49,,,
nangiai,19,nang iai,94,,,
ryngkatlang,19,ryngkat lang,85,,,
darnei,19,dar nei,0,,,
sohkymphor,19,soh kymphor,0,,,
randien,19,ran dien,2,,,
planet,19,pla net,0,,,
duhei,19,du hei,0,,,
jingbhah,19,jing bhah,3,,,
kulang,19,ku lang,0,,,
jingiar,19,jingi ar,0,,,
hashah,19,ha shah,0,,,
thungjam,19,thung jam,9,,,
mawjrong,19,maw jrong,0,,,
parmaw,19,par maw,44,,,
jingbynniaw,19,jing bynniaw,6,,,
teilang,19,tei lang,2,,,
mako,19,ma ko,0,,,
hame,19,ha me,17,,,
jingkob,19,jing kob,0,,,
riehtngen,19,rieh tngen,59,,,
meinah,19,mei nah,2,,,
lumjingshai,19,lum jingshai,6,,,
shakti,19,sha kti,5,,,
shitniam,19,shit niam,10,,,
deka,19,de ka,27,,,
jingklang,19,jing klang,0,,,
sahkhar,19,sah khar,0,,,
tablet,19,tab let,0,,,
sohklet,19,soh klet,0,,,
khadsawphra,19,khadsaw phra,0,,,
jinglynga,19,jing lynga,4,,,
dabid,19,da bid,0,,,
shutia,19,shut ia,15,,,
iakiwei,19,ia kiwei,988,,,
engine,19,eng ine,0,,,
nakane,19,na kane,1260,,,
matabor,19,mata bor,0,,,
iaibteng,19,iai bteng,480,,,
malang,19,ma lang,0,,,
timsih,19,tim sih,5,,,
nongsah,19,nong sah,0,,,
shiing,19,shi ing,22,,,
denang,19,de nang,0,,,
ranbir,19,ran bir,0,,,
mukti,19,mu kti,0,,,
jingjai,19,jing jai,3,,,
kapil,19,kap il,0,,,
duhjait,19,duh jait,36,,,
lasting,19,la sting,2,,,
dipu,19,di pu,0,,,
ibei,19,i bei,0,,,
ladpathai,19,lad pathai,1220,,,
jingkutlad,18,jingkut lad,6,,,
jingkhlong,18,jing khlong,2,,,
umkdait,18,um kdait,0,,,
banner,18,ban ner,0,,,
kharbteng,18,khar bteng,0,,,
amir,18,am ir,0,,,
lakuna,18,la kuna,0,,,
khunlangbrot,18,khun langbrot,23,,,
mawpdang,18,maw pdang,0,,,
umdihar,18,umdih ar,0,,,
rangthylliang,18,rang thylliang,2,,,
sunar,18,su nar,0,,,
niangryndia,18,niang ryndia,0,,,
hojai,18,ho jai,0,,,
syngkieng,18,syng kieng,0,,,
hokum,18,ho kum,0,,,
sohkyrdot,18,soh kyrdot,4,,,
basu,18,ba su,0,,,
bana,18,ba na,1217,,,
parties,18,par ties,0,,,
aidaw,18,ai daw,162,,,
niangti,18,niang ti,0,,,
jinglynshop,18,jing lynshop,11,,,
pynshaiong,18,pyn shaiong,0,,,
makasin,18,maka sin,0,,,
enlang,18,en lang,0,,,
brahma,18,brah ma,0,,,
nangheh,18,nang heh,19,,,
iengskhem,18,ieng skhem,96,,,
menkmie,18,men kmie,0,,,
riewkynthei,18,riew kynthei,39,,,
mawdem,18,maw dem,0,,,
imsngi,18,im sngi,24,,,
kyrdemkulai,18,kyrdem kulai,12,,,
synkieng,18,syn kieng,0,,,
jongme,18,jong me,155,,,
jingsakhi,18,jing sakhi,5,,,
biangtam,18,biang tam,71,,,
jingpynngat,18,jing pynngat,2,,,
bashai,18,ba shai,36,,,
malaria,18,mala ria,0,,,
pyllang,18,pylla ng,0,,,
jingshimti,18,jingshim ti,0,,,
jingpyntuid,18,jing pyntuid,2,,,
sawkuna,18,saw kuna,2,,,
nokmas,18,nok mas,0,,,
wanlambok,18,wanlam bok,0,,,
nakhmat,18,na khmat,66,,,
lamlynti,18,lam lynti,18,,,
root,18,ro ot,0,,,
marsing,18,mar sing,0,,,
lunar,18,lun ar,0,,,
data,18,da ta,0,,,
jingpur,18,jing pur,4,,,
pynjai,18,pyn jai,7,,,
jaidoh,18,jai doh,0,,,
jude,18,ju de,0,,,
iathep,18,ia thep,37,,,
mynsien,18,myn sien,0,,,
akop,18,ak op,0,,,
bokstar,18,bok star,0,,,
nehuta,18,neh uta,0,,,
jongi,18,jong i,365,,,
sahnam,18,sah nam,5,,,
poipynhun,18,poi pynhun,0,,,
homme,18,hom me,0,,,
ktiensang,18,ktien sang,5,,,
satpator,17,sat pator,0,,,
nongblai,17,nong blai,0,,,
jingpynjlan,17,jingpyn jlan,0,,,
mawjynthut,17,maw jynthut,6,,,
moit,17,mo it,0,,,
iania,17,ia nia,10,,,
jingtwad,17,jing twad,0,,,
kharpan,17,khar pan,0,,,
umkrem,17,um krem,0,,,
rikut,17,ri kut,0,,,
lynba,17,lyn ba,0,,,
pine,17,pi ne,0,,,
kimdei,17,kim dei,1118,,,
kohtympan,17,koh tympan,18,,,
pynsyaid,17,pyn syaid,0,,,
thamar,17,tha mar,0,,,
pynsepei,17,pynsep ei,15,,,
sokar,17,sok ar,0,,,
umdang,17,um dang,0,,,
pynbuh,17,pyn buh,0,,,
asam,17,as am,0,,,
laitphar,17,lait phar,0,,,
lehmon,17,leh mon,24,,,
tube,17,tu be,0,,,
waroh,17,wa roh,0,,,
saikil,17,sai kil,0,,,
iuma,17,iu ma,0,,,
jingpynsyrwa,17,jing pynsyrwa,2,,,
pathak,17,pat hak,0,,,
rukh,17,ru kh,0,,,
behar,17,be har,0,,,
tiapur,17,tiap ur,0,,,
shitlang,17,shi tlang,0,,,
biren,17,bir en,0,,,
starwin,17,star win,0,,,
itieng,17,i tieng,0,,,
jingbymtip,17,jingbym tip,24,,,
sheen,17,she en,0,,,
iewbei,17,iew bei,4,,,
lyndoh,17,lyn doh,0,,,
synnah,17,syn nah,0,,,
stephen,17,step hen,0,,,
pynlynga,17,pyn lynga,0,,,
jingthurmur,17,jing thurmur,3,,,
jingwantuid,17,jingwan tuid,64,,,
simsang,17,sim sang,0,,,
lenlade,17,len lade,26,,,
iatan,17,ia tan,4,,,
kador,17,ka dor,1513,,,
longsnam,17,long snam,14,,,
tangsang,17,tang sang,0,,,
arwan,17,ar wan,0,,,
rajen,17,ra jen,0,,,
pynmadan,17,pyn madan,0,,,
ronghang,17,rong hang,0,,,
jingtyngkhuh,17,jing tyngkhuh,9,,,
sarkar,17,sar kar,0,,,
persia,17,per sia,0,,,
langte,17,lang te,0,,,
jingbymman,17,jing bymman,0,,,
umjaiur,17,um jaiur,0,,,
damian,17,da mian,0,,,
jingpynjaboh,17,jing pynjaboh,4,,,
kupli,17,ku pli,0,,,
nongmawlong,17,nong mawlong,0,,,
memo,17,me mo,3,,,
laitduh,17,lai tduh,0,,,
mawrong,17,maw rong,2,,,
iatynjuh,17,ia tynjuh,44,,,
aksaid,17,ak said,0,,,
lyting,17,ly ting,0,,,
mawlan,17,maw lan,0,,,
mawtnum,17,maw tnum,0,,,
tukri,17,tuk ri,0,,,
jingpakhang,17,jing pakhang,19,,,
riewmadan,17,riew madan,11,,,
myrsing,17,myr sing,0,,,
sengkur,17,seng kur,78,,,
teiskhem,17,tei skhem,2,,,
nangpyrdang,17,nang pyrdang,0,,,
jaitkam,16,jait kam,93,,,
bhutia,16,bhut ia,0,,,
kynra,16,kyn ra,0,,,
nongphud,16,nong phud,0,,,
thohkhubor,16,thoh khubor,33,,,
jingphoh,16,jing phoh,0,,,
isangsot,16,i sangsot,22,,,
nasar,16,na sar,0,,,
pohsngap,16,poh sngap,0,,,
khaweh,16,khaw eh,2,,,
bamkhana,16,bam khana,35,,,
daman,16,da man,0,,,
atai,16,at ai,0,,,
iron,16,i ron,0,,,
iamon,16,ia mon,3,,,
komik,16,kom ik,0,,,
nongriat,16,nong riat,0,,,
riewsniew,16,riew sniew,29,,,
mawtap,16,maw tap,0,,,
saini,16,sai ni,0,,,
lapdien,16,lap dien,17,,,
jingmiat,16,jing miat,0,,,
ympat,16,ym pat,1014,,,
longkni,16,long kni,0,,,
naphi,16,na phi,33,,,
khain,16,kha in,0,,,
kilanmet,16,kilan met,61,,,
laskei,16,la skei,0,,,
iabaroh,16,ia baroh,2310,,,
nongdawah,16,nongda wah,0,,,
arseng,16,ar seng,124,,,
jingkynthah,16,jing kynthah,0,,,
muktan,16,muk tan,0,,,
iapyni,16,ia pyni,98,,,
iakitei,16,ia kitei,2901,,,
kheinkor,16,khein kor,10,,,
sawan,16,sa wan,538,,,
najiar,16,na jiar,0,,,
tamang,16,ta mang,0,,,
jingtan,16,jing tan,0,,,
khadsan,16,khad san,0,,,
iawad,16,ia wad,34,,,
nongak,16,no ngak,0,,,
tomar,16,to mar,0,,,
jingtreilang,16,jingtrei lang,5,,,
wanshnong,16,wan shnong,4,,,
iathiah,16,ia thiah,19,,,
lyngdohsohblei,16,lyngdoh sohblei,20,,,
pynkhapngiah,16,pyn khapngiah,3,,,
lato,16,la to,0,,,
mawthei,16,maw thei,0,,,
rongbiria,16,rong biria,0,,,
umkhen,16,um khen,0,,,
jingrahbor,16,jingrah bor,3,,,
jingbom,16,jing bom,4,,,
kyrshanlang,16,kyrshan lang,46,,,
shohshrieh,16,shoh shrieh,5,,,
tiwa,16,ti wa,0,,,
banga,16,ba nga,719,,,
shihajar,16,shi hajar,45,,,
bangi,16,ba ngi,1165,,,
rungtuh,16,rung tuh,68,,,
wanmih,16,wan mih,236,,,
laiphewjait,16,laiphew jait,26,,,
aineh,16,ai neh,5,,,
jingpynmang,16,jingpyn mang,0,,,
jingskud,16,jing skud,0,,,
bashyrkhei,16,ba shyrkhei,98,,,
darwin,16,dar win,0,,,
penshon,16,pen shon,0,,,
hektar,16,he ktar,0,,,
khasei,16,kha sei,0,,,
jingpynap,16,jing pynap,4,,,
sodium,16,sod ium,0,,,
sanu,16,san u,7,,,
umphiang,16,um phiang,0,,,
dongmusa,16,dong musa,0,,,
ribon,16,ri bon,0,,,
enbin,16,en bin,0,,,
nongsakhi,15,nong sakhi,0,,,
umiong,15,um iong,0,,,
khrawkupar,15,khraw kupar,0,,,
ingsaw,15,ing saw,3,,,
budnah,15,bud nah,0,,,
syniang,15,synia ng,0,,,
bansara,15,ban sara,2,,,
syndep,15,syn dep,3,,,
sympli,15,sym pli,0,,,
sanki,15,san ki,11,,,
iaseng,15,ia seng,10,,,
sngewjan,15,sngew jan,6,,,
mawkhap,15,maw khap,0,,,
renik,15,ren ik,0,,,
